Date : 2020-07-08 18:11:29
Directory : /Users/steveyu/algorithm
Total : 346 files,  12755 codes, 162 comments, 334 blanks, all 13251 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /Users/steveyu/algorithm/practice/parc.cpp                                       | C++      |         47 |          0 |          0 |         47 |
| /Users/steveyu/algorithm/practice/spinner.c                                      | C        |         13 |          0 |          1 |         14 |
| /Users/steveyu/algorithm/practice/splay.cpp                                      | C++      |        124 |          0 |         22 |        146 |
| /Users/steveyu/algorithm/practice/test.c                                         | C        |         10 |          0 |          0 |         10 |
| /Users/steveyu/algorithm/practice/test.cpp                                       | C++      |          6 |          0 |          2 |          8 |
| /Users/steveyu/algorithm/practice/test2.cpp                                      | C++      |         28 |          0 |          2 |         30 |
| /Users/steveyu/algorithm/sort/next.cpp                                           | C++      |         32 |          0 |          2 |         34 |
| /Users/steveyu/algorithm/sort/radix_counting_sort.cpp                            | C++      |         47 |          0 |          0 |         47 |
| /Users/steveyu/algorithm/sort/tempCodeRunnerFile.cpp                             | C++      |          1 |          0 |          0 |          1 |
| /Users/steveyu/algorithm/sort/tri-tree.cpp                                       | C++      |          0 |          0 |          1 |          1 |
| /Users/steveyu/algorithm/top/1021.Safe Fruit.cpp                                 | C++      |         38 |          0 |          1 |         39 |
| /Users/steveyu/algorithm/tree/avl_tree/is_it_a_complete_avl_tree.cpp             | C++      |        101 |          0 |          1 |        102 |
| /Users/steveyu/algorithm/tree/avl_tree/root_of_avl_tree.cpp                      | C++      |         58 |          6 |          0 |         64 |
| /Users/steveyu/algorithm/tree/binary_search_tree/build_a_binary_search_tree.cpp  | C++      |         35 |          0 |          0 |         35 |
| /Users/steveyu/algorithm/tree/binary_search_tree/complete_binary_search_tree.cpp | C++      |         25 |          0 |          1 |         26 |
| /Users/steveyu/algorithm/tree/binary_search_tree/is_it_a_binary_search_tree.cpp  | C++      |         41 |          0 |          0 |         41 |
| /Users/steveyu/algorithm/tree/binary_tree/complete_binary_tree.cpp               | C++      |         55 |          0 |          1 |         56 |
| /Users/steveyu/algorithm/tree/binary_tree/invert_a_binary_tree.cpp               | C++      |         48 |          0 |          0 |         48 |
| /Users/steveyu/algorithm/tree/binary_tree/lca_in_binary_tree.cpp                 | C++      |         53 |          0 |          0 |         53 |
| /Users/steveyu/algorithm/tree/binary_tree/lowest_common_ancestor.cpp             | C++      |         52 |          0 |          0 |         52 |
| /Users/steveyu/algorithm/tree/binary_tree/pre_and_post_order_traversals.cpp      | C++      |         40 |          0 |          0 |         40 |
| /Users/steveyu/algorithm/tree/binary_tree/tempCodeRunnerFile.cpp                 | C++      |          1 |          2 |          0 |          3 |
| /Users/steveyu/algorithm/tree/binary_tree/tree_traversal_again.cpp               | C++      |         37 |          0 |          0 |         37 |
| /Users/steveyu/algorithm/tree/binary_tree/tree_traversals.cpp                    | C++      |         25 |          0 |          0 |         25 |
| /Users/steveyu/algorithm/tree/binary_tree/zigzagging_on_a_tree.cpp               | C++      |         43 |          0 |          0 |         43 |
| /Users/steveyu/algorithm/tree/common_tree/counting_leaves.cpp                    | C++      |         32 |          0 |          0 |         32 |
| /Users/steveyu/algorithm/tree/common_tree/high_price_in_supply_chain.cpp         | C++      |         29 |          0 |          1 |         30 |
| /Users/steveyu/algorithm/tree/common_tree/lowest_price_in_supply_chain.cpp       | C++      |         32 |          0 |          1 |         33 |
| /Users/steveyu/algorithm/tree/common_tree/path_of_equal_weight.cpp               | C++      |         46 |          0 |          1 |         47 |
| /Users/steveyu/algorithm/tree/common_tree/postorder_traversal.cpp                | C++      |         22 |          0 |          1 |         23 |
| /Users/steveyu/algorithm/tree/common_tree/the_largest_generation.cpp             | C++      |         35 |          0 |          1 |         36 |
| /Users/steveyu/algorithm/tree/common_tree/total_sales_of_supply_chain.cpp        | C++      |         31 |          0 |          0 |         31 |
| /Users/steveyu/algorithm/tree/heap/heap_paths.cpp                                | C++      |         36 |          0 |          0 |         36 |
| /Users/steveyu/algorithm/tree/heap/heaps.cpp                                     | C++      |         39 |          0 |          0 |         39 |
| /Users/steveyu/algorithm/tree/heap/insertion_or_heap_sort.cpp                    | C++      |         14 |          0 |          1 |         15 |
| /Users/steveyu/algorithm/tree/red_black_tree/is_it_a_red_black_tree.cpp          | C++      |         46 |          0 |          0 |         46 |
| /Users/steveyu/algorithm/浙大2018考研复试上机模拟/7-1.The Missing Number.cpp               | C++      |         16 |          0 |          1 |         17 |
| /Users/steveyu/algorithm/浙大2018考研复试上机模拟/7-2.Hash - Average Search Time.cpp       | C++      |         39 |          2 |          1 |         42 |
| /Users/steveyu/algorithm/浙大2018考研复试上机模拟/7-3.Topological Order.cpp                | C++      |         34 |          0 |          1 |         35 |
| /Users/steveyu/algorithm/浙大2018考研复试上机模拟/7-4.Heaps.cpp                            | C++      |         39 |          0 |          0 |         39 |
| /Users/steveyu/algorithm/浙大2019保研上机模拟卷/1.Happy Numbers.cpp                       | C++      |         25 |          2 |          1 |         28 |
| /Users/steveyu/algorithm/浙大2019保研上机模拟卷/2.Zigzag Sequence.cpp                     | C++      |         36 |          2 |          1 |         39 |
| /Users/steveyu/algorithm/浙大2019保研上机模拟卷/3.Is it a AVL Tree.cpp                    | C++      |         37 |          0 |          1 |         38 |
| /Users/steveyu/algorithm/浙大2019保研上机模拟卷/4.Index of Popularity.cpp                 | C++      |         39 |          2 |          1 |         42 |
| /Users/steveyu/algorithm/浙大2019年考研复试上机模拟/1.Conway's Conjecture.cpp               | C++      |         29 |          2 |          2 |         33 |
| /Users/steveyu/algorithm/浙大2019年考研复试上机模拟/2.Play with LinkedList.cpp              | C++      |         37 |          2 |          1 |         40 |
| /Users/steveyu/algorithm/浙大2019年考研复试上机模拟/3.Unsuccessful Searchers.cpp            | C++      |         26 |          2 |          0 |         28 |
| /Users/steveyu/algorithm/浙大2019年考研复试上机模拟/4.ambulance dispatch.cpp                | C++      |        115 |          0 |          2 |        117 |
| /Users/steveyu/algorithm/甲级/1003.Emergency(练习堆优化).cpp                            | C++      |         47 |          0 |          1 |         48 |
| /Users/steveyu/algorithm/甲级/1003.Emergency.cpp                                   | C++      |         48 |          0 |          1 |         49 |
| /Users/steveyu/algorithm/甲级/1092.To Buy or Not to Buy.cpp                        | C++      |         18 |          0 |          1 |         19 |
| /Users/steveyu/algorithm/甲级/1093.Count PAT's.cpp                                 | C++      |         17 |          0 |          1 |         18 |
| /Users/steveyu/algorithm/甲级/1094.The Largest Generation.cpp                      | C++      |         35 |          0 |          1 |         36 |
| /Users/steveyu/algorithm/甲级/1095.Cars on Campus.cpp                              | C++      |         74 |          0 |          0 |         74 |
| /Users/steveyu/algorithm/甲级/1096.Consecutive Factors.cpp                         | C++      |         29 |          0 |          1 |         30 |
| /Users/steveyu/algorithm/甲级/1097.Deduplication on a Linked List.cpp              | C++      |         38 |          0 |          1 |         39 |
| /Users/steveyu/algorithm/甲级/1098.Insertion or Heap Sort.cpp                      | C++      |         37 |          0 |          0 |         37 |
| /Users/steveyu/algorithm/甲级/1099.Build A Binary Search Tree.cpp                  | C++      |         35 |          0 |          0 |         35 |
| /Users/steveyu/algorithm/甲级/1100.Mars Numbers.cpp                                | C++      |         38 |          0 |          1 |         39 |
| /Users/steveyu/algorithm/甲级/1101.Quick Sort.cpp                                  | C++      |         26 |          0 |          1 |         27 |
| /Users/steveyu/algorithm/甲级/1102.Invert a Binary Tree.cpp                        | C++      |         59 |          0 |          1 |         60 |
| /Users/steveyu/algorithm/甲级/1103.Integer Factorization.cpp                       | C++      |         45 |          0 |          1 |         46 |
| /Users/steveyu/algorithm/甲级/1104.Sum of Number Segments.cpp                      | C++      |         14 |          0 |          1 |         15 |
| /Users/steveyu/algorithm/甲级/1105.Spiral Matrix.cpp                               | C++      |         43 |          0 |          0 |         43 |
| /Users/steveyu/algorithm/甲级/1106.Lowest Price in Supply Chain.cpp                | C++      |         35 |          0 |          0 |         35 |
| /Users/steveyu/algorithm/甲级/1107.Social Clusters.cpp                             | C++      |         52 |          0 |          0 |         52 |
| /Users/steveyu/algorithm/甲级/1108.find average.cpp                                | C++      |         32 |          1 |          0 |         33 |
| /Users/steveyu/algorithm/甲级/1109.Group Photo.cpp                                 | C++      |         40 |          0 |          0 |         40 |
| /Users/steveyu/algorithm/甲级/1110.Complete Binary Tree.cpp                        | C++      |         48 |          0 |          0 |         48 |
| /Users/steveyu/algorithm/甲级/1111.Online Map.cpp                                  | C++      |        111 |          4 |          1 |        116 |
| /Users/steveyu/algorithm/甲级/1112.Stucked Keyboard.cpp                            | C++      |         45 |          0 |          0 |         45 |
| /Users/steveyu/algorithm/甲级/1113.Integer Set Partition.cpp                       | C++      |         18 |          0 |          0 |         18 |
| /Users/steveyu/algorithm/甲级/1114.Family Property.cpp                             | C++      |         81 |          0 |          0 |         81 |
| /Users/steveyu/algorithm/甲级/1115.Counting Nodes in a BST.cpp                     | C++      |         28 |          0 |          0 |         28 |
| /Users/steveyu/algorithm/甲级/1116.Come on! Let's C.cpp                            | C++      |         36 |          0 |          1 |         37 |
| /Users/steveyu/algorithm/甲级/1117.Eddington Number.cpp                            | C++      |         15 |          0 |          0 |         15 |
| /Users/steveyu/algorithm/甲级/1118.Birds in Forest.cpp                             | C++      |         46 |          0 |          0 |         46 |
| /Users/steveyu/algorithm/甲级/1119.pre- and post-order traversals.cpp              | C++      |         40 |          0 |          0 |         40 |
| /Users/steveyu/algorithm/甲级/1120.Friend Numbers.cpp                              | C++      |         21 |          0 |          0 |         21 |
| /Users/steveyu/algorithm/甲级/1121.Damn Single.cpp                                 | C++      |         41 |          0 |          0 |         41 |
| /Users/steveyu/algorithm/甲级/1122.Hamiltonian Cycle.cpp                           | C++      |         33 |          0 |          0 |         33 |
| /Users/steveyu/algorithm/甲级/1123.Is It a Complete AVL Tree.cpp                   | C++      |         82 |          0 |          0 |         82 |
| /Users/steveyu/algorithm/甲级/1124.Raffle for Weibo Followers.cpp                  | C++      |         19 |          0 |          0 |         19 |
| /Users/steveyu/algorithm/甲级/1125.Chain the Ropes.cpp                             | C++      |         15 |          0 |          0 |         15 |
| /Users/steveyu/algorithm/甲级/1126.Eulerian Path.cpp                               | C++      |         36 |          1 |          0 |         37 |
| /Users/steveyu/algorithm/甲级/1127.ZigZagging.cpp                                  | C++      |         54 |          0 |          0 |         54 |
| /Users/steveyu/algorithm/甲级/1128.N Queens Puzzle.cpp                             | C++      |         23 |          0 |          0 |         23 |
| /Users/steveyu/algorithm/甲级/1129.Recommendation System.cpp                       | C++      |         31 |          0 |          0 |         31 |
| /Users/steveyu/algorithm/甲级/1130.Infix Expression.cpp                            | C++      |         32 |          0 |          0 |         32 |
| /Users/steveyu/algorithm/甲级/1131.Subway Map.cpp                                  | C++      |         69 |          0 |          0 |         69 |
| /Users/steveyu/algorithm/甲级/1132.Cut Integer.cpp                                 | C++      |         14 |          0 |          0 |         14 |
| /Users/steveyu/algorithm/甲级/1133.Splitting A Linked List.cpp                     | C++      |         35 |          0 |          0 |         35 |
| /Users/steveyu/algorithm/甲级/1134.Vertex Cover.cpp                                | C++      |         28 |          0 |          0 |         28 |
| /Users/steveyu/algorithm/甲级/1135.Is It A Red-Black Tree.cpp                      | C++      |         46 |          0 |          0 |         46 |
| /Users/steveyu/algorithm/甲级/1136.A Delayed Palindrome.cpp                        | C++      |         57 |          0 |          0 |         57 |
| /Users/steveyu/algorithm/甲级/1137.Final Grading.cpp                               | C++      |         51 |          0 |          0 |         51 |
| /Users/steveyu/algorithm/甲级/1138.Postorder Traversal.cpp                         | C++      |         21 |          0 |          0 |         21 |
| /Users/steveyu/algorithm/甲级/1139.First Contact.cpp                               | C++      |         40 |          0 |          0 |         40 |
| /Users/steveyu/algorithm/甲级/1140.Look-and-say Sequence.cpp                       | C++      |         24 |          0 |          0 |         24 |
| /Users/steveyu/algorithm/甲级/1141.PAT Ranking of Institutions.cpp                 | C++      |         56 |          0 |          0 |         56 |
| /Users/steveyu/algorithm/甲级/1142.Maximal Clique.cpp                              | C++      |         42 |          1 |          0 |         43 |
| /Users/steveyu/algorithm/甲级/1143.Lowest Common Ancestor.cpp                      | C++      |         48 |          0 |          0 |         48 |
| /Users/steveyu/algorithm/甲级/1144.The Missing Number.cpp                          | C++      |         19 |          0 |          0 |         19 |
| /Users/steveyu/algorithm/甲级/1145.Hash - Average Search Time.cpp                  | C++      |         39 |          0 |          2 |         41 |
| /Users/steveyu/algorithm/甲级/1146.Topological Order.cpp                           | C++      |         31 |          0 |          0 |         31 |
| /Users/steveyu/algorithm/甲级/1147.Heaps.cpp                                       | C++      |         39 |          0 |          0 |         39 |
| /Users/steveyu/algorithm/甲级/1148.Werewolf - Simple Version.cpp                   | C++      |         25 |          0 |          1 |         26 |
| /Users/steveyu/algorithm/甲级/1149.Dangerous Goods Packaging.cpp                   | C++      |         37 |          0 |          0 |         37 |
| /Users/steveyu/algorithm/甲级/1150.Travelling Salesman Problem.cpp                 | C++      |         41 |          0 |          0 |         41 |
| /Users/steveyu/algorithm/甲级/1151.LCA in a Binary Tree.cpp                        | C++      |         54 |          0 |          0 |         54 |
| /Users/steveyu/algorithm/甲级/1152.Google Recruitment.cpp                          | C++      |         24 |          0 |          0 |         24 |
| /Users/steveyu/algorithm/甲级/1153.Decode Registration Card of PAT.cpp             | C++      |         50 |          4 |          0 |         54 |
| /Users/steveyu/algorithm/甲级/1154.Vertex Coloring.cpp                             | C++      |         30 |          0 |          0 |         30 |
| /Users/steveyu/algorithm/甲级/1155.Heap Path.cpp                                   | C++      |         36 |          1 |          0 |         37 |
| /Users/steveyu/algorithm/程序员面试金典/01.01.字符串唯一.cpp                                 | C++      |         14 |          1 |          1 |         16 |
| /Users/steveyu/algorithm/程序员面试金典/01.02.判定是否重排.cpp                                | C++      |         17 |          1 |          1 |         19 |
| /Users/steveyu/algorithm/程序员面试金典/01.03.URL化.cpp                                  | C++      |         12 |          0 |          0 |         12 |
| /Users/steveyu/algorithm/程序员面试金典/01.04.回文排列.cpp                                  | C++      |         13 |          0 |          0 |         13 |
| /Users/steveyu/algorithm/程序员面试金典/01.05.一次编辑.cpp                                  | C++      |         16 |          0 |          0 |         16 |
| /Users/steveyu/algorithm/程序员面试金典/01.06.字符串压缩.cpp                                 | C++      |         19 |          1 |          0 |         20 |
| /Users/steveyu/algorithm/钻石样卷1/7-1.是不是太胖了.cpp                                    | C++      |          8 |          0 |          0 |          8 |
| /Users/steveyu/algorithm/钻石样卷1/7-2.装睡.cpp                                        | C++      |         13 |          0 |          0 |         13 |
| /Users/steveyu/algorithm/钻石样卷1/7-3.到底是不是太胖了.cpp                                  | C++      |         15 |          0 |          1 |         16 |
| /Users/steveyu/algorithm/钻石样卷1/7-4.到底有多二.cpp                                     | C++      |         22 |          0 |          0 |         22 |
| /Users/steveyu/algorithm/钻石样卷1/7-5.c语言竞赛.cpp                                     | C++      |         36 |          0 |          0 |         36 |
| /Users/steveyu/algorithm/钻石样卷1/7-6.查字典.cpp                                       | C++      |         20 |          0 |          0 |         20 |
| /Users/steveyu/algorithm/钻石样卷1/tempCodeRunnerFile.cpp                            | C++      |          7 |          0 |          0 |          7 |
| /Users/steveyu/algorithm/高级数据结构/main.cpp                                         | C++      |         16 |          0 |          0 |         16 |
| /Users/steveyu/algorithm/高级数据结构/redblacktree.c                                   | C        |        448 |         17 |         51 |        516 |
| /Users/steveyu/algorithm/高级数据结构/redblacktree.cpp                                 | C++      |        166 |         19 |         37 |        222 |
| /Users/steveyu/algorithm/高级数据结构/redblacktree.h                                   | C++      |         25 |          0 |          5 |         30 |
| /Users/steveyu/algorithm/高级数据结构/splaytree.c                                      | C        |          0 |          0 |          1 |          1 |
| Total                                                                            |          |     12,755 |        162 |        334 |     13,251 |
+----------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
